Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)"
SASTASUNDR,Sastasundar Ventures Limited,70158.05775
MANAKSIA,Manaksia Limited,70055.89945
AWHCL,Antony Waste Handling Cell Limited,70053.176505
BLKASHYAP,B. L. Kashyap and Sons Limited,69886.4
RAMRAT,Ram Ratna Wires Limited,69564
JINDRILL,Jindal Drilling And Industries Limited,69525.668496
VIMTALABS,Vimta Labs Limited,69451.83197649999
CLOUD,Varanium Cloud Limited,69053.35158
DPABHUSHAN,D. P. Abhushan Limited,68956.652725
MOLDTECH,Mold-Tek Technologies Limited,68940.096283
ATULAUTO,Atul Auto Limited,68769.9888
KOKUYOCMLN,Kokuyo Camlin Limited,68657.95520699999
SIGACHI,Sigachi Industries Limited,68632.63125
HIMATSEIDE,Himatsingka Seide Limited,68033.89756
LINCOLN,Lincoln Pharmaceuticals Limited,67950.85224
GREENPOWER,Orient Green Power Company Limited,67940.51991850001
EMAMIPAP,Emami Paper Mills Limited,67758.936
SATINDLTD,Sat Industries Limited,67455.2025
RAMCOSYS,Ramco Systems Limited,67302.627838
HPAL,HP Adhesives Limited,67013.431709
OCCL,Oriental Carbon & Chemicals Limited,66953.596584
FOCUS,Focus Lighting and Fixtures Limited,66946.5300525
GEPIL,GE Power India Limited,66689.651232
SUTLEJTEX,Sutlej Textiles and Industries Limited,66432.50541
PANACEABIO,Panacea Biotec Limited,66426.434037
JAIBALAJI,Jai Balaji Industries Limited,66253.106323
RML,Rane (Madras) Limited,66118.310355
JETAIRWAYS,Jet Airways (India) Limited,65432.092608
TRACXN,Tracxn Technologies Limited,65301.930435
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,65031.2586
TNPETRO,Tamilnadu PetroProducts Limited,64329.60391
ONWARDTEC,Onward Technologies Limited,64317.246045
TFCILTD,Tourism Finance Corporation of India Limited,64119.251856
ONMOBILE,OnMobile Global Limited,63972.548864
INNOVANA,Innovana Thinklabs Limited,63755
GANDHITUBE,Gandhi Special Tubes Limited,63217.247396000006
TEXINFRA,Texmaco Infrastructure & Holdings Limited,62821.30887
MEDICO,Medico Remedies Limited,62279.492
TVSELECT,TVS Electronics Limited,61900.405441999996
HEUBACHIND,Heubach Colorants India Limited,61397.58268
VINYLINDIA,Vinyl Chemicals (India) Limited,61145.096629499996
PARACABLES,Paramount Communications Limited,60391.213115
FOODSIN,Foods & Inns Limited,60361.8381
HLVLTD,HLV LIMITED,60322.280758500005
COFFEEDAY,Coffee Day Enterprises Limited,60312.365774499995
BETA,Beta Drugs Limited,60273.656405
APEX,Apex Frozen Foods Limited,60218.75
YUKEN,Yuken India Limited,60210
ELIN,Elin Electronics Limited,59864.18971
MONARCH,Monarch Networth Capital Limited,59785.84690899999
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,59581.499937
CHEVIOT,Cheviot Company Limited,59374.5225
XCHANGING,Xchanging Solutions Limited,59266.776912
VISAKAIND,Visaka Industries Limited,59083.574888
SUMMITSEC,Summit Securities Limited,59038.5950055
SUKHJITS,Sukhjit Starch & Chemicals Limited,58816.83
INDIANHUME,Indian Hume Pipe Company Limited,58790.640795
JUBLINDS,Jubilant Industries Limited,58467.8854305
ASALCBR,Associated Alcohols & Breweries Ltd.,58341.5784
DECCANCE,Deccan Cements Limited,58257.1925
JAYBARMARU,Jay Bharat Maruti Limited,57567.35
COOLCAPS,Cool Caps Industries Limited,57522.56
APOLLO,Apollo Micro Systems Limited,57495.200333999994
ELDEHSG,Eldeco Housing And Industries Limited,57419.8035
HERCULES,Hercules Hoists Limited,57088
4THDIM,Fourth Dimension Solutions Limited,56920.125705
KRITI,Kriti Industries (India) Limited,56424.004
AGSTRA,AGS Transact Technologies Limited,56331.027264
NAHARPOLY,Nahar Poly Films Limited,56208.147426
MANINDS,Man Industries (India) Limited,55955.944205
ENIL,Entertainment Network (India) Limited,55679.04472
SYNCOMF,Syncom Formulations (India) Limited,55460
KAMOPAINTS,Kamdhenu Ventures Limited,55217.775
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,55021.980276
SCPL,Sheetal Cool Products Limited,54993.75
HPL,HPL Electric & Power Limited,54494.661885
INDOAMIN,Indo Amines Limited,54401.77242
DCMSRIND,DCM Shriram Industries Limited,54109.13907
MENONBE,Menon Bearings Limited,54050.58
VASCONEQ,Vascon Engineers Limited,54003.302083500006
VLSFINANCE,VLS Finance Limited,53914.933253999996
BALAXI,BALAXI PHARMACEUTICALS LIMITED,53870.30125
ZEEMEDIA,Zee Media Corporation Limited,53786.86648
CREATIVE,Creative Newtech Limited,53676
KRISHIVAL,Empyrean Cashews Limited,53615.1393985
SNOWMAN,Snowman Logistics Limited,53468.1584
KOPRAN,Kopran Limited,53274.924105
SHREYAS,Shreyas Shipping & Logistics Limited,52555.3552355
REFEX,Refex Industries Limited,52548.396048
KSOLVES,Ksolves India Limited,52433.16
GFLLIMITED,GFL Limited,52288.6
SPECTRUM,Spectrum Electrical Industries Limited,52163.448
RUSHIL,Rushil Decor Limited,52114.591298
IRISDOREME,Iris Clothings Limited,51764.721798
BINDALAGRO,Oswal Chemicals & Fertilizers Limited,51361.8318
SELMC,SEL Manufacturing Company Limited,51275.94825
BHAGERIA,Bhageria Industries Limited,51063.6906
ZUARI,Zuari Agro Chemicals Limited,50974.303272
TALBROAUTO,Talbros Automotive Components Limited,50512.145145
RUBYMILLS,The Ruby Mills Limited,50511.12
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,49508.1375
DPWIRES,D P Wires Limited,49312.896
SMSPHARMA,SMS Pharmaceuticals Limited,49309.807475
DHARMAJ,Dharmaj Crop Guard Limited,48938.484608
RBL,Rane Brake Lining Limited,48744.566526
GOYALALUM,Goyal Aluminiums Limited,48700.424536000006
NRL,Nupur Recyclers Limited,48208.151571999995
MIRZAINT,Mirza International Limited,48163.36215
VIKASLIFE,Vikas Lifecare Limited,48104.869777
WINDLAS,Windlas Biotech Limited,47558.721192
HITECHGEAR,The Hi-Tech Gears Limited,47407.968
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,46869.55416
SPENCERS,Spencer's Retail Limited,46691.892702
KANORICHEM,Kanoria Chemicals & Industries Limited,46555.2463115
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,46504.773896000006
ASAL,Automotive Stampings and Assemblies Limited,46498.547607
SILVERTUC,Silver Touch Technologies Limited,46342.7145
3IINFOLTD,3i Infotech Limited,46243.928529
MALLCOM,Mallcom (India) Limited,45795.36
CREST,Crest Ventures Limited,45377.75
REPRO,Repro India Limited,45369.986140500005
MARINE,Marine Electricals (India) Limited,45284.017125
KECL,Kirloskar Electric Company Limited,45261.189386499995
DENORA,De Nora India Limited,45210.981461
EXXARO,Exxaro Tiles Limited,45121.369095
MAGADSUGAR,Magadh Sugar & Energy Limited,44980.48296
ASIANTILES,Asian Granito India Limited,44424.233258
JAYAGROGN,Jayant Agro Organics Limited,44025
DIGISPICE,DiGiSPICE Technologies Limited,43992.86714
BBTCL,B&B Triplewall Containers Limited,43935.07608
PREMEXPLN,Premier Explosives Limited,43476.6783965
SWELECTES,Swelect Energy Systems Limited,43240.3629
KELLTONTEC,Kellton Tech Solutions Limited,42521.8169595
MUTHOOTCAP,Muthoot Capital Services Limited,42335.949942
APCL,Anjani Portland Cement Limited,42182.161104
ASIANENE,Asian Energy Services Limited,42053.223398
DONEAR,Donear Industries Limited,41912
ADSL,Allied Digital Services Limited,41615.991252
BANSWRAS,Banswara Syntex Limited,41472.169766
NAHARCAP,Nahar Capital and Financial Services Limited,41471.8825755
ICEMAKE,Ice Make Refrigeration Limited,41374.46517
BAIDFIN,Baid Finserv Limited,41063.3586
STCINDIA,The State Trading Corporation of India Limited,41040
TBZ,Tribhovandas Bhimji Zaveri Limited,40772.40882
SALZERELEC,Salzer Electronics Limited,40588.1606115
IFBAGRO,IFB Agro Industries Limited,40334.779966
PTL,PTL Enterprises Limited,40308.7965
ARIHANTCAP,Arihant Capital Markets Limited,40239.5972
CSLFINANCE,CSL Finance Limited,40159.086877
JSLL,Jeena Sikho Lifecare Limited,40011.023224000004
UNIVPHOTO,Universus Photo Imagings Limited,39862.058466
HARDWYN,Hardwyn India Limited,39856.5
DSSL,Dynacons Systems & Solutions Limited,39735.68694
REVATHI,Revathi Equipment Limited,39351.945633
HCL-INSYS,HCL Infosystems Limited,39340.586396
PLASTIBLEN,Plastiblends India Limited,39243.692
UNIDT,United Drilling Tools Limited,39083.51755
CAREERP,Career Point Limited,39032.9506245
ARROWGREEN,Arrow Greentech Limited,39009.863699
SREEL,Sreeleathers Limited,38923.575172
SBC,SBC Exports Limited,38835.94
RADIOCITY,Music Broadcast Limited,38302.763976
SERVOTECH,Servotech Power Systems Limited,38277.7722
SAKAR,Sakar Healthcare Limited,38194.24
BALAJITELE,Balaji Telefilms Limited,37519.394353
NXTDIGITAL,NXTDIGITAL LIMITED,37493.3499835
GOACARBON,Goa Carbon Limited,37427.80268
BIRLACABLE,Birla Cable Limited,37380
RITCO,Ritco Logistics Limited,37082.07627
SELAN,Selan Exploration Technology Limited,36996.8
ASCOM,Ascom Leasing & Investments Limited,36899.667
OSIAHYPER,Osia Hyper Retail Limited,36660.54645
HINDCOMPOS,Hindustan Composites Limited,36597.582
DHANBANK,Dhanlaxmi Bank Limited,36560.246138
DYCL,Dynamic Cables Limited,36554.247
DHUNINV,Dhunseri Investments Limited,36546.484932
EIFFL,Euro India Fresh Foods Limited,36381.6
MUNJALAU,Munjal Auto Industries Limited,36300
NAHARINDUS,Nahar Industrial Enterprises Limited,36050.802605
DELPHIFX,DELPHI WORLD MONEY LIMITED,36037.671765
URJA,Urja Global Limited,35993.5563245
PRIMESECU,Prime Securities Limited,35851.8053
NECLIFE,Nectar Lifesciences Limited,35769.624715
NBIFIN,N. B. I. Industrial Finance Company Limited,35680.193538
GRPLTD,GRP Limited,35599.9911
MAWANASUG,Mawana Sugars Limited,35244.294464
ZIMLAB,Zim Laboratories Limited,35204.400615
PDMJEPAPER,Pudumjee Paper Products Limited,35084.025
ONEPOINT,One Point One Solutions Limited,35073.3065625
MAXIND,Max India Limited,35047.1278305
SHYAMCENT,Shyam Century Ferrous Limited,35008.54335
VARDHACRLC,Vardhman Acrylics Limited,34958.22951
RADHIKAJWE,Radhika Jeweltech Limited,34939.8
NPST,Network People Services Technologies Limited,34936.803
THEINVEST,The Investment Trust Of India Limited,34923.922064499995
HTMEDIA,HT Media Limited,34795.872943
NRAIL,N R Agarwal Industries Limited,34701.9449
RCOM,Reliance Communications Limited,34569.163125
DICIND,DIC India Limited,34535.9009625
OSWALAGRO,Oswal Agro Mills Limited,34498.337432
POCL,Pondy Oxides & Chemicals Limited,34479.09748
AARTISURF,Aarti Surfactants Limited,34410.772149000004
SKMEGGPROD,SKM Egg Products Export (India) Limited,34400.145
SOLEX,Solex Energy Limited,34360
DEEPENR,DEEP ENERGY RESOURCES LIMITED,34336
FCSSOFT,FCS Software Solutions Limited,34191.062
MUNJALSHOW,Munjal Showa Limited,34075.74
KOTHARIPRO,Kothari Products Limited,34051.849965
PONNIERODE,Ponni Sugars (Erode) Limited,34032.538444
CHEMBOND,Chembond Chemicals Ltd,34017.444496
USASEEDS,Upsurge Seeds Of Agriculture Limited,33992.937
KERNEX,Kernex Microsystems (India) Limited,33878.153025
RANASUG,Rana Sugars Limited,33784.9204
CUPID,Cupid Limited,33751.809
BGRENERGY,BGR Energy Systems Limited,33699.44852
GENUSPAPER,Genus Paper & Boards Limited,33554.93517
GSS,GSS Infotech Limited,33551.885983
PENINLAND,Peninsula Land Limited,33364.54579
JYOTISTRUC,Jyoti Structures Limited,33312.704775
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,33300.969625
KAYA,Kaya Limited,33221.983413
KOTHARIPET,Kothari Petrochemicals Limited,33218.7928
LIBERTSHOE,Liberty Shoes Limited,33168.36
KHADIM,Khadim India Limited,33144.953023
PPL,Prakash Pipes Limited,33138.879467
VIPCLOTHNG,VIP Clothing Limited,33121.204119
NDRAUTO,Ndr Auto Components Limited,32996.162974
PROZONINTU,Prozone Intu Properties Limited,32733.318403499998
INDOBORAX,Indo Borax & Chemicals Limited,32715.755
CONSOFINVT,Consolidated Finvest & Holdings Limited,32681.956026
INDSWFTLAB,Ind-Swift Laboratories Limited,32615.94672
ZUARIIND,ZUARI INDUSTRIES LIMITED,32431.709376
GVKPIL,GVK Power & Infrastructure Limited,32361.721275
SBGLP,Suratwwala Business Group Limited,32099.383044000002
HIRECT,Hind Rectifiers Limited,32092.2133125
CHEMFAB,Chemfab Alkalis Limited,32086.779525
GLOBAL,Global Education Limited,31640.3724
ANNAPURNA,Annapurna Swadisht Limited,31604.139
INTLCONV,International Conveyors Limited,31463.9075
EMKAYTOOLS,Emkay Taps and Cutting Tools Limited,31373.622
ORBTEXP,Orbit Exports Limited,31371.811026
SOUTHWEST,South West Pinnacle Exploration Limited,31166.9808
KAMATHOTEL,Kamat Hotels (I) Limited,31013.03627
RAJMET,Rajnandini Metal Limited,30965.76
RAMAPHO,Rama Phosphates Limited,30910.043111
OMINFRAL,OM INFRA LIMITED,30865.3707845
HMVL,Hindustan Media Ventures Limited,30831.542838
AYMSYNTEX,AYM Syntex Limited,30715.51544
MSPL,MSP Steel & Power Limited,30447.785
WEALTH,Wealth First Portfolio Managers Limited,30334.785
UNITECH,Unitech Limited,30087.462040500002
WEBELSOLAR,Websol Energy System Limited,29971.005405
NURECA,Nureca Limited,29955.5242125
LYKALABS,Lyka Labs Limited,29938.015
GKWLIMITED,GKW Limited,29784.768
MHLXMIRU,Mahalaxmi Rubtech Limited,29710.2193125
AURUM,Aurum PropTech Limited,29574.468737
SKYGOLD,Sky Gold Limited,29271.70106
ALBERTDAVD,Albert David Limited,29252.058831
SHIVAUM,Shiv Aum Steels Limited,29240.86
PAVNAIND,Pavna Industries Limited,29203.468
CINELINE,Cineline India Limited,29167.385016
KOTARISUG,Kothari Sugars And Chemicals Limited,28928.11442
SHEMAROO,Shemaroo Entertainment Limited,28908.3111765
SILINV,SIL Investments Limited,28751.86611
SKP,SKP Bearing Industries Limited,28718
MMP,MMP Industries Limited,28603.342238
EQUIPPP,Equippp Social Impact Technologies Limited,28505.8297125
MANORG,Mangalam Organics Limited,28489.60966
CYBERTECH,Cybertech Systems And Software Limited,28359.200628000002
TRIGYN,Trigyn Technologies Limited,28292.091384
SINTERCOM,Sintercom India Limited,28160.961906
JINDALPHOT,Jindal Photo Limited,28005.22998
SARLAPOLY,Sarla Performance Fibers Limited,27890.002
RUCHIRA,Ruchira Papers Limited,27845.370071999998
ESSENTIA,Integra Essentia Limited,27650.4966815
MACPOWER,Macpower CNC Machines Limited,27591.47328
AUTOIND,Autoline Industries Limited,27527.475366
ORIENTABRA,Orient Abrasives Limited,27397.3768
APOLSINHOT,Apollo Sindoori Hotels Limited,27358.8084
DYNPRO,Dynemic Products Limited,27280.712032
CLEDUCATE,CL Educate Limited,27258.81444
PARSVNATH,Parsvnath Developers Limited,27198.823125
GSCLCEMENT,Gujarat Sidhee Cement Limited,27177.063744000003
MIRCELECTR,MIRC Electronics Limited,27136.9327325
VISHWARAJ,Vishwaraj Sugar Industries Limited,27134.21
HINDMOTORS,Hindustan Motors Limited,26917.048797
NINSYS,NINtec Systems Limited,26888.76
NATHBIOGEN,Nath Bio-Genes (India) Limited,26843.15
KNAGRI,KN Agri Resources Limited,26836.329885
GEECEE,GeeCee Ventures Limited,26725.189661999997
KCPSUGIND,KCP Sugar and Industries Corporation Limited,26702.179275
STEL,Stel Holdings Limited,26520.416985
PODDARMENT,Poddar Pigments Limited,26355.24
KOTYARK,Kotyark Industries Limited,26351.3831
HITECHCORP,Hitech Corporation Limited,26338.93595
EUROBOND,Euro Panel Products Limited,26337.5
MICEL,MIC Electronics Limited,26241.391645500004
ORICONENT,Oricon Enterprises Limited,26226.968405
20MICRONS,20 Microns Limited,26217.870985999998
MWL,Mangalam Worldwide Limited,26215.72118
MINDTECK,Mindteck (India) Limited,26149.371255
BMETRICS,Bombay Metrics Supply Chain Limited,26105.5104
GOKUL,Gokul Refoils and Solvent Limited,26035.685
SECL,Salasar Exteriors and Contour Limited,25989.3109575
DUGLOBAL,DUDIGITAL GLOBAL LIMITED,25969.5
WEL,Wonder Electricals Limited,25957.3496
SUPERHOUSE,Superhouse Limited,25947.3375
LOYALTEX,Loyal Textile Mills Limited,25922.112372
BPL,BPL Limited,25859.196528
BIRLAMONEY,Aditya Birla Money Limited,25714.287751
GPTINFRA,GPT Infraprojects Limited,25624.766
E2E,E2E Networks Limited,25584.785205
SHIVAMAUTO,Shivam Autotech Limited,25544.444398000003
DCMNVL,DCM Nouvelle Limited,25214.96115
MAZDA,Mazda Limited,24820.9875
MADHAVBAUG,Vaidya Sane Ayurved Laboratories Limited,24706.6075
WINDMACHIN,Windsor Machines Limited,24544.2204
BASML,Bannari Amman Spinning Mills Limited,24315.701625
WALCHANNAG,Walchandnagar Industries Limited,24222.619048
SEJALLTD,Sejal Glass Limited,24083.45
UCALFUEL,Ucal Fuel Systems Limited,23993.283125
MAHEPC,Mahindra EPC Irrigation Limited,23983.33944
V2RETAIL,V2 Retail Limited,23969.370677
SAKUMA,Sakuma Exports Limited,23925.06186
VERTOZ,Vertoz Advertising Limited,23910.075
KMSUGAR,K.M.Sugar Mills Limited,23874.044115
ASHIMASYN,Ashima Limited,23861.679711
UFO,UFO Moviez India Limited,23841.055635
VIKASECO,Vikas EcoTech Limited,23714.4006
SAKHTISUG,Sakthi Sugars Limited,23710.382682
MAHESHWARI,Maheshwari Logistics Limited,23574.1698
MAANALU,Maan Aluminium Limited,23540.437056
HUBTOWN,Hubtown Limited,23511.448268
REPL,Rudrabhishek Enterprises Limited,23412.375
QMSMEDI,QMS Medical Allied Services Limited,23329.95
MANAKSTEEL,Manaksia Steels Limited,23264.58775
EMAMIREAL,Emami Realty Limited,23236.147846
GENCON,Generic Engineering Construction and Projects Limited,23176.6183
STARPAPER,Star Paper Mills Limited,22842.820225
GUJAPOLLO,Gujarat Apollo Industries Limited,22744.5
JAYSREETEA,Jayshree Tea & Industries Limited,22712.144311999997
NDL,Nandan Denim Limited,22631.105376
BCONCEPTS,Brand Concepts Limited,22525.4898
GIRRESORTS,GIR Natureview Resorts Limited,22472.058125
SMLT,Sarthak Metals Limited,22451.19
TPLPLASTEH,TPL Plastech Limited,22308.858
TEMBO,Tembo Global Industries Limited,22224.147619
DANGEE,Dangee Dums Limited,22095.4125
NIPPOBATRY,Indo-National Limited,22068.75
ASIANHOTNR,Asian Hotels (North) Limited,22040.508457
BRNL,Bharat Road Network Limited,22036.875
PPAP,PPAP Automotive Limited,21980
PASUPTAC,Pasupati Acrylon Limited,21882.1812055
FROG,Frog Cellsat Limited,21809.7212
ASAHISONG,Asahi Songwon Colors Limited,21800.541069000003
PRECOT,Precot Limited,21792
MEP,MEP Infrastructure Developers Limited,21738.3570435
VENUSREM,Venus Remedies Limited,21714.672006
KILITCH,Kilitch Drugs (India) Limited,21690.588048
BTML,Bodhi Tree Multimedia Limited,21618.08
MEGASTAR,Megastar Foods Limited,21507.955
DRCSYSTEMS,DRC Systems India Limited,21446.15631
ZODIACLOTH,Zodiac Clothing Company Limited,21275.8573645
HILTON,Hilton Metal Forging Limited,20979
INDOTHAI,Indo Thai Securities Limited,20855
JITFINFRA,JITF Infralogistics Limited,20845.705566
EROSMEDIA,Eros International Media Limited,20765.4067635
DEVIT,Dev Information Technology Limited,20724.99702
BIL,Bhartiya International Limited,20703.290784
EIMCOELECO,Eimco Elecon (India) Limited,20546.98737
ANMOL,Anmol India Limited,20511.85966
COASTCORP,Coastal Corporation Limited,20384.4774
RAJTV,Raj Television Network Limited,20375.98752
KORE,Jay Jalaram Technologies Limited,20356.77
RELCAPITAL,Reliance Capital Limited,20216.71216
MGEL,Mangalam Global Enterprise Limited,20090.558375
FOCE,Foce India Limited,20060.9925
INDTERRAIN,Indian Terrain Fashions Limited,19975.549935
TAKE,Take Solutions Limited,19971.09
TOTAL,Total Transport Systems Limited,19957.1290875
ACCURACY,Accuracy Shipping Limited,19949.2
AVG,AVG Logistics Limited,19894.3203545
HARRMALAYA,Harrisons  Malayalam Limited,19784.19416
SHREYANIND,Shreyans Industries Limited,19742.1
LOKESHMACH,Lokesh Machines Limited,19686.447
LGBFORGE,LGB Forge Limited,19651.7031975
SYSTANGO,Systango Technologies Limited,19480.1664
SIGMA,Sigma Solve Limited,19439.89125
MARALOVER,Maral Overseas Limited,19425.744
ABAN,Aban Offshore Limited,19406.4698975
BAFNAPH,Bafna Pharmaceuticals Limited,19398.1947
BEDMUTHA,Bedmutha Industries Limited,19390.594284000003
SIMPLEXINF,Simplex Infrastructures Limited,19314.27316
ARIES,Aries Agro Limited,19304.9412455
DTIL,Dhunseri Tea & Industries Limited,19086.7411455
KRITINUT,Kriti Nutrients Limited,19039.3376
IVC,IL&FS Investment Managers Limited,18527.93166
IITL,Industrial Investment Trust Limited,18433.365975
SWASTIK,Swastik Pipe Limited,18422.54778
AARON,Aaron Industries Limited,18415.5621565
VITAL,Vital Chemtech Limited,18406.42035
BEWLTD,BEW Engineering Limited,18339.5100355
NILAINFRA,Nila Infrastructures Limited,18315.8478
INDOTECH,Indo Tech Transformers Limited,18261.09
PVP,PVP Ventures Limited,18133.899874000002
AHLEAST,Asian Hotels (East) Limited,18035.238928
SAH,Sah Polymers Limited,18018.506
TIPSFILMS,Tips Films Limited,17950.784115
PHANTOMFX,Phantom Digital Effects Limited,17820.84
DUCOL,Ducol Organics And Colours Limited,17731.53
KANPRPLA,Kanpur Plastipack Limited,17690.329104
VINNY,Vinny Overseas Limited,17679.37156
MCLEODRUSS,Mcleod Russel India Limited,17653.019215
TRF,TRF Limited,17623.565818
ALLETEC,All E Technologies Limited,17599.224384
MANOMAY,Manomay Tex India Limited,17590.6533
INSPIRISYS,Inspirisys Solutions Limited,17510.657865999998
AIRAN,Airan Limited,17377.78
MODISONLTD,MODISON LIMITED,17344.525
MURUDCERA,Murudeshwar Ceramics Limited,17308.578
TIRUPATI,Shree Tirupati Balajee FIBC Limited,17266.65318
PAR,Par Drugs And Chemicals Limited,17226.4904
SGIL,Synergy Green Industries Limited,16977.195
SPLIL,SPL Industries Limited,16965.00234
GEEKAYWIRE,Geekay Wires Limited,16838.172
PALREDTEC,Palred Technologies Limited,16728.034005
ESSARSHPNG,Essar Shipping Limited,16558.08576
SIL,Standard Industries Limited,16532.537837
PRITI,Priti International Limited,16527.78283
AKSHARCHEM,AksharChem India Limited,16471.8694995
RAMANEWS,Shree Rama Newsprint Limited,16448.706567999998
RUCHINFRA,Ruchi Infrastructure Limited,16419.19536
ALANKIT,Alankit Limited,16392.7413
MEGASOFT,Megasoft Limited,16303.179060999999
IZMO,IZMO Limited,16237.2822625
GULFPETRO,GP Petroleums Limited,16187.5416025
TOUCHWOOD,Touchwood Entertainment Limited,16152.5451925
SARVESHWAR,Sarveshwar Foods Limited,16128.3668
TARMAT,Tarmat Limited,16081.6053975
RPPL,Rajshree Polypack Limited,16080.1205
IEL,Indiabulls Enterprises Limited,15966.128258499999
BHARATGEAR,Bharat Gears Limited,15884.807501
GOLDTECH,Goldstone Technologies Limited,15855.877261
MBLINFRA,MBL Infrastructure Limited,15765.570912000001
PROPEQUITY,P. E. Analytics Limited,15759.843364
EMKAY,Emkay Global Financial Services Limited,15745.10697
IL&FSENGG,IL&FS Engineering and Construction Company Limited,15734.52936
BSL,BSL Limited,15726.432704
UNITEDPOLY,United Polyfab Gujarat Limited,15703.186725
PASHUPATI,Pashupati Cotspin Limited,15604.964
SHIVATEX,Shiva Texyarn Limited,15535.8115305
MANGALAM,Mangalam Drugs And Organics Limited,15511.68304
KRISHNADEF,Krishna Defence and Allied Industries Limited,15477.696
PREMIERPOL,Premier Polyfilm Limited,15428.5665675
SMSLIFE,SMS Lifesciences India Limited,15420.2753435
GOLDSTAR,Goldstar Power Limited,15405.12
BROOKS,Brooks Laboratories Limited,15402.203282
VAISHALI,Vaishali Pharma Limited,15386.924767
ALMONDZ,Almondz Global Securities Limited,15375.670398
3RDROCK,3rd Rock Multimedia Limited,15316.15
PRESSMN,Pressman Advertising Limited,15299.0722145
AARVI,Aarvi Encon Limited,15271.872
AKSHAR,Akshar Spintex Limited,15249.39
LATTEYS,Latteys Industries Limited,15236.393625
VISESHINFO,Visesh Infotecnics Limited,15097.74662
BHAGYANGR,Bhagyanagar India Limited,15037.65
TTL,T T Limited,14984.14085
SADBHAV,Sadbhav Engineering Limited,14840.8742
COMPUSOFT,Compucom Software Limited,14796.410156
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,14793.651774000002
RPPINFRA,R.P.P. Infra Projects Limited,14789.52279
SVLL,Shree Vasu Logistics Limited,14779.674
SMARTLINK,Smartlink Holdings Limited,14763
ASPINWALL,Aspinwall and Company Limited,14760.927744
LAMBODHARA,Lambodhara Textiles Limited,14684.304
DJML,DJ Mediaprint & Logistics Limited,14682.55104
TIL,TIL Limited,14649.2020325
ELGIRUBCO,Elgi Rubber Company Limited,14639.625
JAINAM,Jainam Ferro Alloys (I) Limited,14585.0172
WORTH,Worth Peripherals Limited,14490.92
ISFT,Intrasoft Technologies Limited,14481.239474000002
GINNIFILA,Ginni Filaments Limited,14474.860985
PILITA,PIL ITALICA LIFESTYLE LIMITED,14452.5
SOFTTECH,Softtech Engineers Limited,14436.78243
DUCON,Ducon Infratechnologies Limited,14426.6960295
VETO,Veto Switchgears And Cables Limited,14374.44616
RANEENGINE,Rane Engine Valve Limited,14266.52068
AVONMORE,Avonmore Capital & Management Services Limited,14222.11098
KBCGLOBAL,KBC Global Limited,14145.000483
PANSARI,Pansari Developers Limited,14070.8442
MODIRUBBER,Modi Rubber Limited,14060.258718
INVENTURE,Inventure Growth & Securities Limited,13860
KAPSTON,Kapston Services Limited,13831.427173499998
AKSHOPTFBR,Aksh Optifibre Limited,13747.9785495
JMA,Jullundur Motor Agency (Delhi) Limited,13738.893981
EMMBI,Emmbi Industries Limited,13736.479125
NITCO,Nitco Limited,13725.060405
IRIS,Iris Business Services Limited,13668.980372
SHERA,Shera Energy Limited,13559.066465
DRSDILIP,DRS Dilip Roadlines Limited,13548.631498499999
UNITEDTEA,The United Nilgiri Tea Estates Company Limited,13475.738502
JOCIL,Jocil Limited,13454.94225
MANAKALUCO,Manaksia Aluminium Company Limited,13368.9462
VIPULLTD,Vipul Limited,13258.28504
SIKKO,Sikko Industries Limited,13255.2
GILLANDERS,Gillanders Arbuthnot & Company Limited,13157.556309000001
SVPGLOB,SVP GLOBAL TEXTILES LIMITED,13092.75
VISASTEEL,Visa Steel Limited,13084.2135
DCM,DCM  Limited,13083.7631745
INTENTECH,Intense Technologies Limited,12991.344996500002
TEXMOPIPES,Texmo Pipes and Products Limited,12977.1775
WEIZMANIND,Weizmann Limited,12956.820157
BYKE,The Byke Hospitality Ltd,12951.5894
RAJSREESUG,Rajshree Sugars & Chemicals Limited,12922.88634
ZODIAC,Zodiac Energy Limited,12914.0108
ARSHIYA,Arshiya Limited,12910.319835
UMANGDAIRY,Umang Dairies Limited,12904.8768
LOVABLE,Lovable Lingerie Limited,12898.2
HOMESFY,Homesfy Realty Limited,12801.288
ALPHAGEO,Alphageo (India) Limited,12745.4459175
NDGL,Naga Dhunseri Group Limited,12715
PRAXIS,Praxis Home Retail Limited,12712.578816
ARTNIRMAN,Art Nirman Limited,12652.692
SHIGAN,Shigan Quantum Technologies Limited,12575.48445
NOIDATOLL,Noida Toll Bridge Company Limited,12568.162635
UMAEXPORTS,Uma Exports Limited,12543.44693
VELS,Vels Film International Limited,12520.76
ATLANTA,Atlanta  Limited,12510.25
MOTOGENFIN,The Motor & General Finance Limited,12508.88237
